date,source,target,value
7/1/2017,Source,EXA-2-TARG,521.00
7/1/2017,Source,EXA-3-TARG,1971.00
7/1/2017,Source,EXA-1-TARG,232.00
7/1/2017,Source,EXA-4-TARG,755.00
7/2/2017,Source,EXA-2-TARG,521.00
7/2/2017,Source,EXA-3-TARG,1971.00
7/2/2017,Source,EXA-1-TARG,232.00
7/2/2017,Source,EXA-4-TARG,755.00
7/3/2017,Source,EXA-2-TARG,521.00
7/3/2017,Source,EXA-3-TARG,1971.00
7/3/2017,Source,EXA-1-TARG,231.00
7/3/2017,Source,EXA-4-TARG,755.00
7/4/2017,Source,EXA-2-TARG,521.00
7/4/2017,Source,EXA-3-TARG,1971.00
7/4/2017,Source,EXA-1-TARG,231.00
7/4/2017,Source,EXA-4-TARG,755.00
7/5/2017,Source,EXA-2-TARG,520.00
7/5/2017,Source,EXA-3-TARG,1971.00
7/5/2017,Source,EXA-1-TARG,231.00
7/5/2017,Source,EXA-4-TARG,755.00
7/6/2017,Source,EXA-2-TARG,520.00
7/6/2017,Source,EXA-3-TARG,1972.00
7/6/2017,Source,EXA-1-TARG,231.00
7/6/2017,Source,EXA-4-TARG,755.00
7/7/2017,Source,EXA-2-TARG,520.00
7/7/2017,Source,EXA-3-TARG,1972.00
7/7/2017,Source,EXA-1-TARG,231.00
7/7/2017,Source,EXA-4-TARG,754.00
7/8/2017,Source,EXA-2-TARG,520.00
7/8/2017,Source,EXA-3-TARG,1971.00
7/8/2017,Source,EXA-1-TARG,231.00
7/8/2017,Source,EXA-4-TARG,754.00
7/9/2017,Source,EXA-2-TARG,520.00
7/9/2017,Source,EXA-3-TARG,1971.00
7/9/2017,Source,EXA-1-TARG,231.00
7/9/2017,Source,EXA-4-TARG,754.00
7/10/2017,Source,EXA-2-TARG,520.00
7/10/2017,Source,EXA-3-TARG,1971.00
7/10/2017,Source,EXA-1-TARG,231.00
7/10/2017,Source,EXA-4-TARG,754.00
7/11/2017,Source,EXA-2-TARG,520.00
7/11/2017,Source,EXA-3-TARG,1970.00
7/11/2017,Source,EXA-1-TARG,231.00
7/11/2017,Source,EXA-4-TARG,754.00
7/12/2017,Source,EXA-2-TARG,520.00
7/12/2017,Source,EXA-3-TARG,1970.00
7/12/2017,Source,EXA-1-TARG,231.00
7/12/2017,Source,EXA-4-TARG,754.00
7/13/2017,Source,EXA-2-TARG,520.00
7/13/2017,Source,EXA-3-TARG,1970.00
7/13/2017,Source,EXA-1-TARG,231.00
7/13/2017,Source,EXA-4-TARG,754.00
7/14/2017,Source,EXA-2-TARG,520.00
7/14/2017,Source,EXA-3-TARG,1970.00
7/14/2017,Source,EXA-1-TARG,231.00
7/14/2017,Source,EXA-4-TARG,753.00
7/15/2017,Source,EXA-2-TARG,520.00
7/15/2017,Source,EXA-3-TARG,1970.00
7/15/2017,Source,EXA-1-TARG,231.00
7/15/2017,Source,EXA-4-TARG,753.00
7/16/2017,Source,EXA-2-TARG,520.00
7/16/2017,Source,EXA-3-TARG,1970.00
7/16/2017,Source,EXA-1-TARG,231.00
7/16/2017,Source,EXA-4-TARG,753.00
7/17/2017,Source,EXA-2-TARG,520.00
7/17/2017,Source,EXA-3-TARG,1969.00
7/17/2017,Source,EXA-1-TARG,231.00
7/17/2017,Source,EXA-4-TARG,753.00
7/18/2017,Source,EXA-2-TARG,520.00
7/18/2017,Source,EXA-3-TARG,1969.00
7/18/2017,Source,EXA-1-TARG,231.00
7/18/2017,Source,EXA-4-TARG,753.00
7/19/2017,Source,EXA-2-TARG,520.00
7/19/2017,Source,EXA-3-TARG,1969.00
7/19/2017,Source,EXA-1-TARG,231.00
7/19/2017,Source,EXA-4-TARG,753.00
7/20/2017,Source,EXA-2-TARG,520.00
7/20/2017,Source,EXA-3-TARG,1969.00
7/20/2017,Source,EXA-1-TARG,231.00
7/20/2017,Source,EXA-4-TARG,753.00
7/21/2017,Source,EXA-2-TARG,520.00
7/21/2017,Source,EXA-3-TARG,1969.00
7/21/2017,Source,EXA-1-TARG,231.00
7/21/2017,Source,EXA-4-TARG,753.00
7/22/2017,Source,EXA-2-TARG,520.00
7/22/2017,Source,EXA-3-TARG,1969.00
7/22/2017,Source,EXA-1-TARG,231.00
7/22/2017,Source,EXA-4-TARG,753.00
7/23/2017,Source,EXA-2-TARG,520.00
7/23/2017,Source,EXA-3-TARG,1969.00
7/23/2017,Source,EXA-1-TARG,231.00
7/23/2017,Source,EXA-4-TARG,753.00
7/24/2017,Source,EXA-2-TARG,520.00
7/24/2017,Source,EXA-3-TARG,1969.00
7/24/2017,Source,EXA-1-TARG,231.00
7/24/2017,Source,EXA-4-TARG,753.00
7/25/2017,Source,EXA-2-TARG,520.00
7/25/2017,Source,EXA-3-TARG,1969.00
7/25/2017,Source,EXA-1-TARG,231.00
7/25/2017,Source,EXA-4-TARG,753.00
7/26/2017,Source,EXA-2-TARG,520.00
7/26/2017,Source,EXA-3-TARG,1967.00
7/26/2017,Source,EXA-1-TARG,231.00
7/26/2017,Source,EXA-4-TARG,753.00
7/27/2017,Source,EXA-2-TARG,520.00
7/27/2017,Source,EXA-3-TARG,1967.00
7/27/2017,Source,EXA-1-TARG,231.00
7/27/2017,Source,EXA-4-TARG,753.00
7/28/2017,Source,EXA-2-TARG,520.00
7/28/2017,Source,EXA-3-TARG,1967.00
7/28/2017,Source,EXA-1-TARG,231.00
7/28/2017,Source,EXA-4-TARG,753.00
7/29/2017,Source,EXA-2-TARG,519.00
7/29/2017,Source,EXA-3-TARG,1967.00
7/29/2017,Source,EXA-1-TARG,231.00
7/29/2017,Source,EXA-4-TARG,753.00
7/30/2017,Source,EXA-2-TARG,519.00
7/30/2017,Source,EXA-3-TARG,1967.00
7/30/2017,Source,EXA-1-TARG,231.00
7/30/2017,Source,EXA-4-TARG,753.00
7/31/2017,Source,EXA-2-TARG,519.00
7/31/2017,Source,EXA-3-TARG,1967.00
7/31/2017,Source,EXA-1-TARG,231.00
7/31/2017,Source,EXA-4-TARG,753.00
