date,volume_cum,energy_content_cum
2017-07-01,4132.00000,3925.00000
2017-07-02,8268.00000,7849.00000
2017-07-03,12595.00000,11937.00000
2017-07-04,17000.00000,16054.00000
2017-07-05,21296.00000,20063.00000
2017-07-06,25075.00000,23581.00000
2017-07-07,28124.00000,26426.00000
2017-07-08,32506.00000,30505.00000
2017-07-09,36450.00000,34201.00000
2017-07-10,40323.00000,37866.00000
2017-07-11,44656.00000,41971.00000
2017-07-12,48926.00000,45984.00000
2017-07-13,53454.00000,50244.00000
2017-07-14,58022.00000,54551.00000
2017-07-15,62626.00000,58891.00000
2017-07-16,67196.00000,63184.00000
2017-07-17,71737.00000,67424.00000
2017-07-18,76291.00000,71677.00000
2017-07-19,80738.00000,75829.00000
2017-07-20,84948.00000,79828.00000
2017-07-21,89050.00000,83716.00000
2017-07-22,93108.00000,87555.00000
2017-07-23,97196.00000,91407.00000
2017-07-24,101202.00000,95165.00000
2017-07-25,105355.00000,99067.00000
2017-07-26,109610.00000,103041.00000
2017-07-27,113888.00000,107036.00000
2017-07-28,118177.00000,111018.00000
2017-07-29,122358.00000,114888.00000
2017-07-30,126554.00000,118749.00000
2017-07-31,130458.00000,122367.00000
