date,actual_rins_cum
2017-07-01,46029.54653
2017-07-02,92047.36578
2017-07-03,139988.45780
2017-07-04,188269.64070
2017-07-05,235284.27820
2017-07-06,276540.82460
2017-07-07,309904.91630
2017-07-08,357740.46290
2017-07-09,401084.46390
2017-07-10,444064.91940
2017-07-11,492205.37510
2017-07-12,539266.92160
2017-07-13,589225.10460
2017-07-14,639734.46940
2017-07-15,690630.83420
2017-07-16,740976.01720
2017-07-17,790699.65480
2017-07-18,840575.74680
2017-07-19,889267.38430
2017-07-20,936164.74900
2017-07-21,981760.38650
2017-07-22,1026781.38800
2017-07-23,1071954.84300
2017-07-24,1116025.93500
2017-07-25,1161785.75400
2017-07-26,1208389.93700
2017-07-27,1255240.39300
2017-07-28,1301938.39400
2017-07-29,1347322.94000
2017-07-30,1392601.94100
2017-07-31,1435031.00000
