ID,LENGTHPLANTRANS,TIMELINETRANCONSCIENT ,TIMEMAJORCONSCIENT ,TIMEONLINECONSCIENT,FREQADVISTRANS ,HOMEWORKHOURS,FREQAPPOINTUTOR ,ASKHELP,CLASSATTENDANCE,EARLYREADINGMAG ,EARLYREADINGBOOKS ,EARLYREADINGBOOKMAG,EARLYREADINGINTERNET ,HS,GED ,CCDIRECT ,SELFASSESSCOMPUT ,CLASSDISCUSS_UNCOMFORT,FREQCLASSDISUSS ,CONFIDTHIRDFOURTH ,CONFIDTERMPAPER ,CONFIDRESEARCH ,CONFIDTESTPERFORM ,CONFIDORGAN ,CONFIDCLASSDISCUSS ,CAMPUSTIME ,CTIMESOCIALIZING ,CTIMEHW ,CTIMEXTRAC ,CTIMECOMPUTER,TRANSFERDESIRE,ACAD_ACTIVITIES_CLUBS,SOCCULTATTEND,CLOSESTFRBA1,CLOSESTFRBA2,CLOSESTFR3COLL1,CLOSESTFR3COLL2,CLOSESTFR3COLL3,CLOSESTFRBA4,CLOSESTFRBA5,COLLEGEFRIENDSPROP,FREQADVGOALADVISORS ,FREQADVGOALFAC ,FREQADVGOALMENT ,FREQADVGOALPAR ,FREQADVGOALSIB,FREQADVGOALCOLLFR,FREQADVGOALNCOLLFR,PRIADVGOALADVISORS ,PRIADVGOALFAC ,PRIADVGOALMENT ,PRIADVGOALPAR,PRIADVGOALSIB,PRIADVGOALCOLLFR ,PRIADVGOALNCOLLFR ,FREQADVCRSSELADVISORS  ,FREQADVCRSSELFAC ,FREQADVCRSSELMENT ,FREQADVCRSSELPAR ,FREQADVCRSSELSIB ,FREQADVCRSSELCOLLFR ,FREQADVCRSSELNCOLLFR ,PRIADVCRSSELADVISORS ,PRIADVCRSSELFAC ,PRIADVCRSSELMENT ,PRICRSSELPAR,PRICRSSELSIB,PRICRSSELCOLLFR ,PRICRSSELNCOLLFR ,PARTTIMERECENT,CHILDREN ,CHILDRENINTERF ,WORKHRS ,WORKINTERF ,FINANCECHALL ,INDEP ,MARITAL ,MOTHOCCUP,MOTHOCCUPCODE,FATHOCCUP,FATHOCCUPCODE,MOTHEDUC ,FATHEDUC ,MAXPAREDUC,SIB1EDUC ,SIB2EDUC ,SIB3EDUC ,NONNUCEDUC ,PARHOUSEOWNRENT,PARHOUSEOWN ,HSTRAVEL ,AGE ,GENDMALE ,RACE ,DISABILITY ,ENGHOME ,HOMELANG
1,2,2,4,3,3,2,3,3,1,0,1,1,5,West Mesa,0,1,4,1,1,2,5,5,3,6,4,2,5,1,4,3,2,0,0,1,3,2,2,4.5,4,5,3,2,0,3,10,3,5,2,1,4,5,2,6,3,7,3,1,2,4,3,4,2,1,2,5,3,6,4,7,1,1,3,2,2,3,0,0,Manager at Restaurant,.,Busser at Restaurant,.,11,10,11,9,12,8,1,0,0,2,23,0,4,0,0,Spanish
2,3,1,2,2,2,1,1,4,1,0,0,0,2,Learning Community Charter School,0,1,4,4,2,2,6,7,8,6,10,5,3,1,2,4,1,0,0,1,2,1.5,5,4,5,3,4,2,0,0,3,13,6,1,3,4,5,6,1,2,7,1,0,0,2,5,6,1,1,5,2,6,3,4,7,1,0,1,0,0,2,1,0,Teacher,.,Plumber,.,16,14,16,.,.,.,2,0,1,1,18,1,3,.,1,.
3,3,2,5,1,1,1,1,3,1,0,2,2,1,Learning Community Charter School,0,1,3,4,2,4,10,10,10,10,10,3,1,3,5,3,2,0,0,1,5,3,2,3.5,3,4,3,0,0,0,3,3,3,3,4,3,2,5,6,1,7,0,0,0,0,0,3,0,1,2,3,4,6,5,7,0,0,0,0,0,2,1,0,Fast Food Crew,.,Fast Food Crew,.,10,9,10,.,13,.,1,0,0,0,21,1,4,0,1,.
4,1,1,4,3,4,1,1,3,2,1,3,4,10,Pojoaque Valley HS,0,1,4,4,3,3,10,10,3,6,10,3,2,3,1,4,2,0,3,1,1,1,5,5,5,5,4,2,2,0,2,2,2,0,1,1,5,1,1,1,7,5,5,0,8,8,8,0,1,1,1,1,1,1,1,0,0,0,0,0,3,0,0,Retired,.,LANL employee,.,14,14,14,16,.,.,3,1,2,1,19,1,4,1,1,.
5,2,1,3,1,1,2,1,3,2,2,2,4,0,Highland HS,0,1,2,3,2,2,6,7,7,4,5,3,2,4,2,2,2,0,0,4,5,4.5,5,3.5,5,2,2,2,1,0,4,0,2,0,3,2,7,1,4,6,5,4,2,3,3,0,3,1,6,3,5,7,4,3,2,0,0,1,0,0,3,0,0,Welfare SSI,.,Plumber,.,9,13,13,.,.,.,1,0,0,2,19,1,4,0,1,.
6,3,2,5,2,2,3,1,1,1,20,20,40,0,GED,1,2,5,1,1,4,10,9,9,9,5,4,5,1,5,5,3,0,0,2,5,3.5,4,2,3,1,1,3,0,0,0,0,0,0,1,2,3,4,6,5,7,3,0,0,0,0,0,0,1,2,3,4,6,5,7,1,0,0,1,2,3,1,0,Housewife,.,Disabled,.,10,10,10,12,12,16,1,1,2,0,51,0,4,0,1,Spanish
7,1,2,5,3,1,1,1,1,2,0,2,2,0,Albuquerque HS,0,1,3,3,2,4,7,9,7,8,10,1,5,1,4,3,3,0,0,5,5,5,3,5,5,5,4,0,0,0,5,5,10,0,2,6,3,4,5,1,7,1,0,0,2,1,2,0,1,3,2,5,6,4,7,0,0,0,0,0,3,0,0,Custodian,.,Deceased,.,12,12,12,10,.,.,1,0,1,3,18,1,2,0,1,
8,2,3,5,3,3,3,3,3,3,2,5,7,6,Thoreau HS,0,2,4,3,2,4,10,9,8,9,9,5,5,1,4,1,2,2,3,1,2,1.5,3,4.5,4,5,3,3,5,2,0,0,0,0,1,3,2,5,4,6,7,3,2,1,0,0,0,0,1,3,2,5,4,6,7,0,0,0,2,1,1,1,0,Deceased,.,Retired,.,11,12,12,14,12,.,2,1,2,1,25,1,5,0,1,.
9,2,1,5,1,3,2,2,3,1,0,2,2,0,Rio Grande HS,0,2,5,4,3,4,9,10,10,8,10,2,4,1,5,2,3,0,0,1,4,2.5,2,4,3,5,2,2,0,0,0,0,3,0,1,2,4,5,6,3,7,2,0,0,0,2,0,0,1,2,4,5,6,3,7,0,1,3,3,2,2,1,2,.,.,.,.,11,12,12,12,12,12,1,1,2,0,32,1,4,1,1,.
10,3,3,2,3,2,1,2,3,2,2,7,9,2,Early College Academy,0,1,5,3,3,3,7,5,5,2,,4,3,4,5,5,2,0,1,1,5,3,3,3,2,4,3,2,4,3,10,8,5,10,7,2,4,5,6,3,1,2,0,0,5,0,0,8,2,5,5,3,5,5,1,1,0,0,1,2,3,0,0,.,.,Systems Engineer,.,16,16,16,.,.,.,2,1,2,1,21,.,3,1,1,.
11,1,2,5,3,3,2,1,3,1,0,12,12,0,Rio Grande HS,0,1,5,3,2,4,8,10,9,10,7,0,1,1,2,5,3,0,0,5,5,5,2,4,3,5,4,3,2,3,4,2,3,5,1,1,2,1,1,1,3,3,0,3,4,2,3,0,1,4,2,1,1,2,4,0,0,1,1,0,1,0,0,Housewife,.,mechanic,.,10,10,10,14,.,.,1,1,2,3,18,1,1,0,1,.
