Name,URL
Data Visualization Projects,
D3JS - World Cup Animation,http://tmm-world-cup.s3-website-us-east-1.amazonaws.com/
Interactive Cloropleth Map,http://abq-aws-thomas-maestas.s3-website-us-east-1.amazonaws.com/#/chloropleth
Dynamic Data,http://abq-aws-thomas-maestas.s3-website-us-east-1.amazonaws.com/#/planets
Directed Acyclic Graph Tool JSON Editor Tool,http://tmm-dag.s3-website-us-east-1.amazonaws.com
R: R-Studio ggplot2,https://thomasmaestas.net/dist/docs/ADAHighSchoolNetworks.html
Tableau Data Viz,https://public.tableau.com/profile/thomas.milton.maestas
Full-Stack API Projects,
CryptoCurrency Balance & NFT LookUp Tool,http://cryptomaven.xyz
Bitcoin Analysis Google-Cloud DB & SSL w/ AWS Cognito Authentication,https://armchairbitcoinist.com
Google Firestore Serverless DB,https://bitcoinbuyer-ce650.firebaseapp.com/
React API AWS Lambda API Gateway-DynamoDB,http://dailytech-react.s3-website-us-east-1.amazonaws.com/
OMDb Film Search,http://tmm.net.s3-website-us-east-1.amazonaws.com
Dice Game,http://dice-match-tmm-aws.s3-website-us-east-1.amazonaws.com/
Our_Daily_Tech_Blog I.,https://blog.ourdailytech.net
Our_Daily_Tech_Blog II.,https://ourdailytech.net
