"id","author","blogcite","cat3","date","did","monthOrder","post","title"
"472e94ce-8e10-4403-ac4b-e19b12ce4c51","by Thomas Maestas, MA","","Web Dev Affairs","April 7-8, 2018<br />  Weekend","18-04-07","4"," 
  <p class=""firstparagraph"">Revolutions come and revolutions go, but the <i>2nd app revolution</i> is already underway, albeit quietly.<sup>1</sup> Most media sources refer to a ""Native App - Progressive Web App Debate"" with emphasis on what the native app can already do--<i>so if it's not broke, don't fix it</i>. However, implications change as the conversation turns to the Hyper Text Transfer Protocol (HTTP) Chrome V-8 JavaScript Engine<sup>2</sup>--you know, the web-app on <i>steroids</i>! </p>
  <p>So what kind of steroids you ask? Let us say that the power of the modern browser lies in the open-source JavaScript engine, first C++ variation <i>originally </i>introduced in 2008 by Google's Chromium project. Open-source<i>-who?</i> (close your eyes next paragraph for the jargon-wary!) </p>
  <p class=""quote"">A JavaScript engine is a program or an interpreter which executes JavaScript code. A JavaScript engine can be implemented as a standard interpreter, or just-in-time compiler that compiles JavaScript to bytecode in some form.<sup>2</sup></p>
  <p>In plain english, this means that the browser speaks directly to machine code, and this is a big deal. Happily 'roided, the browser now accomodates tasks that the ""App"" was invented for: <i>To direct service work</i>--image and data loading, caching, storage, offline data, icons, notifica       tions, etc. </p>
  <p>Now, through a ""Manifest"" file provided to the device from the browser, all of those same tasks are accomplished through a series of handshakes, and voil&aacute;: the mobile device doesn't see the difference between a native app and, well ... a <i>progressive app!</i></p>
  <p>They say History repeats itself. In our digital lifetime, we have seen <i>record sales</i> surpass digital downloads again (due to streaming); we have seen the originally-decentralized internet return, or at least begin the journey, back to decentralization! And now, we have the once-lowly browser return with a vengeance and strength to replace native apps, with encrypted security, instant loading, and <i>better</i> off-line caching! Do you have an app for that?</p>
  
  <p class=""cite"">1. <a href=""https://www.forbes.com/sites/forbestechcouncil/2018/03/09/why-progressive-web-apps-will-replace-native-mobile-apps/#3f39b4fa2112"" target=""_blank"">https://www.forbes.com/sites/forbestechcouncil/2018/03/09/why-progressive-web-apps-will-replace-native-mobile-apps/#3f39b4fa2112</a></p>
  
  <p class=""cite"">2. <a href=""https://blog.sessionstack.com/how-javascript-works-inside-the-v8-engine-5-tips-on-how-to-write-optimized-code-ac089e62b12e"" target=""_blank"">https://blog.sessionstack.com/how-javascript-works-inside-the-v8-engine-5-tips-on-how-to-write-optimized-code-ac089e62b12e</a></p>","On the	Inevitable Demise of   Native Mobile Apps in favor of Progressive Web Apps<br />Part III: The Nuts &amp; Bolts of the App Replacement Process"
"cb8df4de-4dff-4120-94b2-4f208edd7c8f","by Thomas Maestas, MA","","Quantum Data","March 4, 2020 ","20-03-04","","

<p class=""firstparagraph"">Data -- from the warehousing to the accessing and securing, all the while complying with data privacy regulations, has been a piecemeal, multi-faceted challenge: a race against the clock, against others' race against the clock, and of course the changing dynamics of the clock itself. If this sounds like an impossiblly rigged game, it is, because the goal posts bend for the best technologies availed by whom. </p>
  <img src=""https://tmm-nov.s3.amazonaws.com/img/q-superposition.jpg"" width=""400""  class=""zoom"" />
<p class=""quote""> Countries around the world are investing billions into quantum computing research. Mainly, it’s because it has applications in artificial intelligence. Security and the search for unbreakable encryption in AI-enabled applications that house personal, business, and government data are prompting the investment into this new research area.<sup>1</sup>
</p> 

<p>The roadblocks for machine learning are clear: computing power for modern techniques are not sustainable in terms of insufficient memory and computing power, hence the current ""A.I. Winter"". In my <a href=""#07-05-18"">July 5th 2018 post, <em>Godfathers of A.I.</em></a> I outline the periods that technical limitations reduce progress and interest in A.I. applicibility. In preliminary advances, single-layered algorithms (think of one set of variables that drive prediction) and later iterations that involve multiple-layers that exponentially increase computing needs: 
</p>



<p class=""quote"">Programs that performed well in the laboratory were useless in everyday situations; a simple act like picking up a ball turned out to require an overwhelming number of computations. The research fell into the first of several “A.I. winters.” As Bostrom notes in his book, “Among academics and their funders, ‘A.I.’ became an unwanted epithet.”<sup>2</sup></p>
<p>So, then, what is at stake with the potential of quantum-based computations? Everything, because all the current machine learning roadblocks are flattened: </p>

<p class=""quote"">Quantum Computing also has the potential to allow AI to optimize its processing to such a degree that complex calculations needed to achieve artificial general intelligence can be carried out in record time.<sup>1</sup>
</p>

<p>This time it's more than a roll of the die and a few good hires. To the winner go the spoils, the losers work for the winners, and finally, not even time spent can predict the winners!</p>
<br />
","Moving your Quantum Dreams into Today, Part II:<br />The Business of Quantum Data and Privacy"
"3ebda9c3-16b8-41d5-bb39-d0e217d5c8b3","by Thomas Maestas","
  <p class=""cite"">1. <a target=""_blank"" href=""https://www.wired.co.uk/article/what-is-article-13-article-11-european-directive-on-copyright-explained-meme-ban"">  https://www.wired.co.uk/article/what-is-article-13-article-11-european-directive-on-copyright-explained-meme-ban</a></p>  
  
  ","Web Dev Affairs","January 21, 2019","19-01-21","1705","<p class=""firstparagraph"">Copy Cat Accusations from the few mean a slower, more expensive, ad-driven internet experience! 
  </p>
  <p class=""quote"">Simply put, the Directive on Copyright places more responsibility on websites such as YouTube, Facebook and Twitter to make sure that copyrighted materially isn’t being illegaly shared on their platforms. Until now, the onus has mostly been on the copyright holders – usually the companies that produce audio, video or written content – to enforce copyright protection but under the new law this responsibility will shift onto the major platforms themselves.
<br /><br />
  At the heart of the Directive on Copyright are two divisive articles – Article 11 and Article 13 – that have been dubbed the “link tax” and “meme ban” articles respectively. Critics of the Directive on Copyright argue that these articles mean that platforms will have to pay a fee to share a link to a news article and have to start filtering and removing memes.<sup>1</sup>  
  </p>  
  <p>The effort involved in roping in internet creativity is ...<i> like herding cats?</i>  </p>","World of OpenSource, part II:<br />The CopyRight Strikes Back"
"bacef711-3891-4b70-b686-f6279eea0ef6","by Thomas Maestas","


  <p class=""footnotes"">1. <a href=""http://fortune.com/longform/element-ai-startup-tech/""   target=""_blank"">http://fortune.com/longform/element-ai-startup-tech/</a>
  </p>    
  <p class=""footnotes"">2. <a href=""https://www.benzinga.com/pressreleases/18/06/p11846924/join-ai-pioneer-geoffrey-hinton-in-toronto-and-learn-from-global-leade""   target=""_blank"">https://www.benzinga.com/pressreleases/18/06/p11846924/join-ai-pioneer-geoffrey-hinton-in-toronto-and-learn-from-global-leade</a>
  </p>     


  ","A.I.Now.","July 5, 2018","18-07-05","4"," 
  <p class=""quote"">In the Modern Field of Artiificial Intelligence, all roads seem to lead to three researchers with ties to Canadian universities. The first, Geoffrey Hinton, a 70-year-old Brit who teaches at the University of Toronto, pioneered the subfield called deep learning that has become synonymous with A.I. The second, a 57-year-old Frenchman named Yann LeCun, worked in Hinton’s lab in the 1980s and now teaches at New York University. The third, 54-year-old Yoshua Bengio, was born in Paris, raised in Montreal, and now teaches at the University of Montreal. The three men are close friends and collaborators, so much so that people in the A.I. community call them the Canadian Mafia.<sup>1.</sup></p>

  <p class=""firstparagraph"">A curious path of punctuated advancement due to insufficient memory and cpu power, characterized late 20th century A.I. development: Deep Learning development   lulls interrupted by rapid growth with each successive technological period.
   Toronto's Dr. Geoff Hinton's single-layered A.I. algorithm gained brief fame, yet A.I. research no longer advanced  for ten years. </p>
   <p class=""quote"">
   Programs that performed well in the laboratory were useless in everyday situations; a simple act like picking up a ball turned out to require an overwhelming number of computations.

The research fell into the first of several “A.I. winters.” As Bostrom notes in his book, “Among academics and their funders, ‘A.I.’ became an unwanted epithet.”<sup>1</sup> 
</p>
<p>
Then came the GPU with Alex Khreshinski's famous image-recognition competition-winning penmanship detector, which notably is still in use by the banking system. This novel use of the GPU to accomplish parallel calculations rewrote the the A.I. field overnight. Also known as the ""Cambrian Explosion"", this event (and really just the algorithm) set off widespread advancements in the weeks and months follwoing, leading to new speciation ranging from the ANN, Neural Network, to a whole alphabet soup from Convolutional Neural Networks (CNN) <i>to far-reaching mutations of Reinforcement Learning</i>.<sup>2</sup>
  </p>
 
  <p> Along with Hinton's close collaborator throughout the 1980's and 90's, Dr. Yoshua Bengio of the University of Montr&eacute;al, the researchers remain committed to humanity's service:</p>
   
  <p class=""quote"">
  Hinton moved from the U.S. to Canada in part due to disillusionment with Reagan-era politics and disapproval of military funding of artificial intelligence.[22] He believes political systems will use AI to ""terrorize people"". Hinton has petitioned against lethal autonomous weapons. Regarding existential risk from artificial intelligence, Hinton has stated that superintelligence seems more than 50 years away, but warns that ""there is not a good track record of less intelligent things controlling things of greater intelligence"". Asked in 2015 why he continues research despite his grave concerns, Hinton stated ""I could give you the usual arguments. But the truth is that the prospect of discovery is too sweet."" Hinton has also stated that ""It is very hard to predict beyond five years"" what advances AI will bring.<sup>1</sup></p>
  
  <p>While Hinton and company aren't necessarily Mahatma Gandhi-like, their devotion to a science prioritized to humanity' service and long-term best interest--free from monetary or other influence is admirable. No wonder their outlook on A.I.'s utility is so much brighter than that of Pessimist Elon Musk and company ... baah-humbug!
 </p>
   
 
  ","The Canadian Mafia, Part I.<br /> On the Good-Natured Vision of the Godfathers of A.I."
"87238df0-6747-4f99-8293-6aa536f2beb8","by Thomas Maestas","
  <p class=""footnotes"">1.  <a href=""https://www.nytimes.com/2018/06/17/business/media/denver-post-blockchain-colorado-sun.html""   target=""_blank"">https://www.nytimes.com/2018/06/17/business/media/denver-post-blockchain-colorado-sun.html</a>
  </p>
  
  ","Musing Blockchain","June 19, 2018","18-06-19","4","<p class=""quote""><i>
  They left The Denver Post amid newsroom layoffs and interference in the editorial process by the newspaper’s hedge-fund owners. And now those reporters and editors are creating their own news outlet, The Colorado Sun.  They will be partnering with the Civil Media Company, an ambitious New York start-up that aims to use blockchain technology and crypto economics to start 1,000 publications nationwide by the end of the year. </i>
  <br /><br />- New York Times, June 17, 2018</p><br />
  <p class=""firstparagraph"">Power from the 4th Estate tends to flow in the form of printers' ink, however Blockchain Tech empowers journalists with  new resources for their trade: free money and data, and more importantly, an empowered readership in Cooperative form: 
  </p>
  <p class=""quote"">
  The new publication will have a conventional website whose data will be written permanently into the secure digital ledger known as the blockchain. Expenses for the fledgling outlet will be covered by a grant from Civil, whose sole investor, for now, is ConsenSys, a Brooklyn-based blockchain software technology company founded by the Canadian entrepreneur Joseph Lubin. Mr. Lubin is also a co-founder of the Ethereum, a virtual currency and blockchain database platform. As part of its plan to fund new media entities, Civil plans to unveil a new token this summer called CVL.
<br /><br />
People who purchase the CVL token, a form of cryptocurrency, will have a say concerning the projects hosted by Civil — meaning that they can vote on whether one of its websites violates the company’s journalism standards, which are outlined in the Civil Constitution.<sup>1</sup> 
  </p>
  <p>Who would have guessed that through Crypto-Currency for money and Distributed Ledger Tables for data, modern Journalism would rise from the ashes of tech-induced impoverishment and so-called 'fake-news' delegitimization to regain limitless ink for influence, with a renewed and democratized legitimacy.  <br />
  <br />
  Thank you, Blockchain, for restoring Truth to Power!
  </p>
  ","Rise of the Embattled 4th Estate"
"dc83d51f-a640-4ed0-a96b-baa09988040e","by Thomas Maestas, MA","","Musing Blockchain","Feb 20, 2019","18-02-20","8","
  <p class=""firstparagraph"">I feel that data is one of the more underestimated new commodities of the age. Most visualize data as rows and columns,
and at most only non-conditional dynamic data. Data are not so mute! Data, in most object-oriented languages at
least, represents
<i>functions</i>, conditions, and predicted values. And so, our own behavior, coupled with our networks&#39; behavior,
coupled with predictive analytics--this represents a wealth of information beyond our attributed or inherited traits.
The programming is
<i>in</i> the data, however, citizens have become less and less involved, ceding app by centralized app our own information
and ensuring profit to 3rd party marketers. The centralized nature of the internet allows for this, while the new
landscape of
<i>decentralized applications</i> (DAPP) completely upends this structure of the status quo.</p>

<p>
<strong>IV. Enabling citizens to own &amp; monetize their data (&amp; protect privacy)</strong>
<br /> Ethereum offers a decentralized solution to &quot;owning&quot; one&#39;s own data, as data can be decentralized
and returned to the individual&#39;s control, and
<i>profit</i>. As sure as the 19th century&#39;s &quot;labor-hour&quot; became commodified to a calculable asset, i.e.
property, which
<i>another</i> party controls and makes profit; And as sure as the 20th century&#39;s data analytics became commodified
into calculable assets for another party to take control and make profit; then only now in this 21st century does
technology offer a new, more egalitarian path.</p>

<p>
<strong>V. Ensuring compensation for the Creators of Value </strong>
<br /> So, how would decentralized innovations of blockchain
<i>distributed ledger</i> technology compensate those whose actions, behavior, opinions, friend-networks, artwork,
music, videos and other contributions profit the creator?</p>

<p>
<strong>VI. The Halcyon Age of Transaction-Chain Enterprise</strong>
</p>

<p class=""quote"">According to Greek Mythology, the days of eery, noticeable lack of storms have never been interpreted as a period
of grace. Moreso,
<i>Halcyon</i> tranquility only means a temporary moratorium on the winds and waves, imposed by Aeolus, God of Wind,
to protect the nesting eggs of Alcyone, his daughter.</p>

<p>If blockchain tech changes how we do research, analysis, and forecasting, as much as it changes international, and
cross-industry transactions, then are we faced with a similar dilemma as the &quot;novelty&quot;, and double-dealing,
of multi-nationals of the 1990s? No, because blockchain renders organizations, even those with a spotty past, into
transparent, democratic, efficient, secure and easily scrutinized.</p>

<p>After all, without transparent proof, how else would I know my bananas are the &quot;pura vida&quot; Costa Rique&ntilde;
ones? More importantly, what was the carbon footprint of that banana&#39;s journey from its native soil to my breakfast
table? New blockchain companies like
<a href=""https://www.provenance.org/"">Provenance.org</a>,
<a href=""http://www.skuchain.com/"" target=""_blank"">skuchain</a>,
<a href=""http://www.blockverify.io/"">http://www.blockverify.io/</a> are a few noticeable game-changers. So, for bananas not backed by mathematical proofs,
I really have to ask myself, is it
<i>really</i> an authentic Fair Trade banana?</p>

<p>Transactions are hardly valuable in the products themselves, if removed from the value of the
<i>transaction per se</i>. International supply chain transactions, by virtue of a recently possible decentralized,
permanent record and monitoring, have begun to make inroads in agriculture, petroleum, pharmaceuticals, food-supply
and other multi-stage industries.</p>

<p>If corporate and governmental transactions are to be made public--many bearing enterprise or State secrets, then
will forecasting also go the way of birds? Possibly. Online platforms like Augur
<sup  >8</sup>are creating global, decentralized prediction markets, in domains like sports betting, financial markets
speculation and so forth. Armed with vast, transparent knowledge, the everyday person can now access the whims and
power of Aeolus, and forecasting the winds of Fortune.</p>

<p>
<strong>VII. Reinventing Government &amp; Democracy</strong>
<br /> ...to be completed...</p>

<p>1.
<a href=""https://www.provenance.org/"" target=""_blank""> https://www.provenance.org/ </a>
</p>

<p>2.
<a href=""http://www.skuchain.com/"" target=""_blank""> http://www.skuchain.com/ </a>
</p>

<p>3.
<a href=""http://www.blockverify.io/"" target=""_blank""> http://www.blockverify.io/ </a>
</p>
  ","Cryptocurrency&#39;s Cumbersome Carbon Footprint"
"ecd98bc2-9bf8-4286-ab21-8e4ede461e80","by Thomas Maestas","
  <p class=""cite"">1<a target=""_blank"" href=""https://www.engadget.com/2018/11/24/us-huawei-warning-5g/"">https://www.engadget.com/2018/11/24/us-huawei-warning-5g/</a></p> 
  ","Web Dev Affairs","November 24-25, 2018<br />Weekend ","18-11-24","131","
  <p class=""firstparagraph"">Latency at near-zero terms makes 5G the missing and final ingredient for the imminent IoT revolution--so why not protect the hardware foundation?
  </p>
  <p class=""quote"">Huawei has fallen out of favor with the US government after a congressional report from 2012 called it a national security threat out of concerns that the Chinese government could compel the company to give it access to sensitive data. Just before this year's midterm elections, the country even banned government personnel from using Huawei and ZTE devices.
  <br /><br /> 
  The Wall Street Journal says US officials briefed representatives from Germany, Japan and Italy in an effort to dissuade both government and commercially operated networks from using Huawei (and ZTE) components. In addition to discussing the possibility of Beijing forcing the company to comply with requests for data access, the authorities reportedly stressed 5G's susceptibility to cyberattacks and espionage, as well.<sup>1</sup>
  </p>","5G Security Foundations for 21st Century Appliances"
"9f7024cd-5e5d-411d-9cdf-385aebb87879","by Thomas Maestas, MA"," 
 
	<p>1.
	<a href=""https://www.washingtonpost.com/technology/2019/04/30/amazons-facial-recognition-technology-is-supercharging-local-police/?noredirect=on&utm_source=pocket-newtab&utm_term=.8a8a1b75b94a"" target=""_blank"">https://www.washingtonpost.com/technology/2019/04/30/amazons-facial-recognition-technology-is-supercharging-local-police/?noredirect=on&utm_source=pocket-newtab&utm_term=.8a8a1b75b94a</a>
	</p>
    
    ","A.I.Now.","May 3, 2019  ","19-05-03","3","
    <p class=""firstparagraph"">Rekognition, a premier AWS service, shines among a few dozen other AI software resources, not to mention Platforms-as-a-Service, yet not without controversy: On the one hand, AI algorithms necessarily reflect the biases of its origin lab. On the other hand, Providers like AWS' democratizing access to every researcher, professional, and student the unlimited use of sophisticated and expensive AI resources; thus canceling out any potential bias through the diversity of individuals' and teams' participation.  
    <br /><br />
    <img   class=""zoom"" src=""https://s3.amazonaws.com/tmm-nov/img/rekognition.jpg"">  
    <br /><br />
    At the heart of these healthy public debates, it's the particular use-cases that exemplify the spectrum of the debate. For instance, policing practice by bot is a sure example, if not for the <i>RoboCop</i> Hollywood allure ... As always, the AI's algorithm bears the imprint of the creator's intentions: </p>
	
	<p class=""quote""> 
	But Washington County also became ground zero for a high-stakes battle over the unregulated growth of policing by algorithm. Defense attorneys, artificial-intelligence researchers and civil rights experts argue that the technology could lead to the wrongful arrest of innocent people who bear only a resemblance to a video image. Rekognition’s accuracy is also hotly disputed, and some experts worry that a case of mistaken identity by armed deputies could have dangerous implications, threatening privacy and people’s lives.<br /><br />

Some police agencies have in recent years run facial-recognition searches against state or FBI databases using systems built by contractors such as Cognitec, IDEMIA and NEC. But the rollout by Amazon has marked perhaps the biggest step in making the controversial face-scanning technology mainstream. Rekognition is easy to activate, requires no major technical infrastructure, and is offered to virtually anyone at bargain-barrel prices. Washington County spent about $700 to upload its first big haul of photos, and now, for all its searches, pays about $7 a month.<sup>1</sup> 
    </p>
    <p>Whether government services or commercial enterprise, the landscape  is converting <i>en masse</i> the manual and the mundane to machine learning.  Public advocacy, now-g5 23 more than ever, can help direct A.I. technology and use toward a more society-friendly endeavor ...</p>
	","Rekognize Me?"
"f258f824-9eae-4b52-8c5d-664658ea3fc9","by Thomas Maestas","  
  <p class=""cite"">1 <a target=""_blank"" href=""https://phys.org/news/2015-09-youre-irrational-quantum-probabilistic-human.html""   target=""_blank"">https://phys.org/news/2015-09-youre-irrational-quantum-probabilistic-human.html
  </a>
  </p>
  <p class=""cite"">PDFs <br /> <a target=""_blank"" href=""https://www.cell.com/trends/cognitive-sciences/fulltext/S1364-6613(15)00099-6""   target=""_blank"">https://www.cell.com/trends/cognitive-sciences/fulltext/S1364-6613(15)00099-6
  </a> 
  </p>
  <p class=""cite"">PDFs <br /> <a target=""_blank"" href=""http://journals.sagepub.com/doi/abs/10.1177/0963721414568663""   target=""_blank"">http://journals.sagepub.com/doi/abs/10.1177/0963721414568663
  </a> 
  </p>
     ","Quantum Data","October 13-14, 2018<br /><small>Weekend</small>","18-10-13","12","
  <p class=""firstparagraph"">Modeling the molecular behavior of organic chemistry, biology has become the specialty of Quantum computing, with its superposed third-state that supports short bursts of ultra-fast algorithm computations. Quantum computing has revolutionized biology, so why not psychology?  ..at least at the molecular level: </p><p class=""quote""> According to Zheng Joyce Wang and others who try to model our decision-making processes mathematically, the equations and axioms that most closely match human behavior may be ones that are rooted in quantum physics.

  ""We have accumulated so many paradoxical findings in the field of cognition, and especially in decision-making,"" said Wang, who is an associate professor of communication and director of the Communication and Psychophysiology Lab at The Ohio State University.<br /><br />
  
  ""Whenever something comes up that isn't consistent with classical theories, we often label it as 'irrational.' But from the perspective of quantum cognition, some findings aren't irrational anymore. They're consistent with quantum theory—and with how people really behave.""
  
  
  <sup>1</sup></p>
  <p>So much for the binary way of thinking--after all, isn't life more colorful than black-and-white reasoning?
  </p>
 ","Probabilistic Reality (and Information), Part II<br />Quantum Molecular Psychology"
"9b108a2f-3818-4ae0-95f0-1e9d87c1be57","by Thomas Maestas"," 
  <p class=""cite"">1. <a target=""_blank"" href=""https://www.nytimes.com/2019/01/09/opinion/meditation-internet.html"">
  https://www.nytimes.com/2019/01/09/opinion/meditation-internet.html</a></p>  
  
  ","Web Dev Affairs","January 11, 2019","19-01-11","163"," <p class=""quote""> Smartphones are as central to the economy as cars and credit cards, and a lot of people have little meaningful opportunity to quit. 
    And the “offline” world is now ruled by what happens online. Escape is impossible. Quips on Twitter are indirectly programming cable news 
    <sup>1</sup> ...<br /><br />--NYT Op-Ed
    </p>
  <p class=""firstparagraph"">Technology is too often the scapegoat for problems with ... <i>(our)</i> habits. Whether its <i>screen</i> time, selfie-addiction or mental dependance, it's never us as a society. I argue interactive tech saved a world of passive Movie & TV watching, passive reading ... leaving only the <i>professionals</i> to film, record music, publish and actively pursue leisure. Now, everybody with a telephone <i>can do</i> anything.</p>
  <p>Technology has expanded average knowledge breadth <i>and</i> depth far more than it has undercut our potential. 25 years ago, specialized knowedge required a library. Besides the perseverence to get there. </p><p>If 18th century Berlin invented compulsory secondary schooling, thereby raising literacy from 10% to 70$ in one generation; Similarly, if 19th century Paris invented compulsory secondary schooling and revolutionalized learning as a national force, and John Hopkins the first <i>modern</i> university template for mass Higher-Ed; Then, by de Facto means, Silicon Valley has provided meta-knowledge that comprises a far more important knowledge: Tying unlimited knowledge to our most <i>social</i> device: el telefono. Thus, between the Wikipadia tile and the Twitter tile, one generation catapults over all previous generations--at least in terms of YouTube know-how and social awareness. Armies of bureaucrats and educators could not have achieved one-tenth! Thank you, California, for auguring such great potential for our age. </p><p>One NYT op-ed writer encapsulates the less optimistic view of online life--a life viewed as 'captive to technology'.
  </p>
  <p class=""quote"">  Smartphones are as central to the economy as cars and credit cards, and a lot of people have little meaningful opportunity to quit. 
  And the “offline” world is now ruled by what happens online. Escape is impossible. Quips on Twitter are indirectly programming cable news ...
<sup>1</sup>
  </p>
  ","It's not Fair Scapegoating Tech for *Our* Bad Habits"
